WorkpieceID,MeasurementID,Energy,Amplitude,Max,Spectral Centroid,Spectral Peak,Autocorrelation Peak,Label
1,0,0.086784,0.0210666666666667,0.076,27.4556781753834,50.0000000000099,1,0
1,0,0.086912,0.0215333333333333,0.076,27.9355870934374,50.0000000000099,1,0
1,0,0.087168,0.0213333333333333,0.084,27.6103332618702,50.0000000000099,1,0
1,0,0.08,0.0204,0.084,27.4271783586279,49.1525423728911,1,0
1,0,0.078464,0.0204,0.084,27.1872655083965,49.1525423728911,1,0
1,0,0.059008,0.0179333333333333,0.084,25.9758281211575,0,1,0
1,0,0.05632,0.0177333333333333,0.084,26.385716066327,39.8305084745842,1,0
1,0,0.061568,0.0182666666666667,0.084,26.4500288921973,39.8305084745842,1,0
1,0,0.391424,0.0280666666666667,0.436,27.4583417077048,39.8305084745842,1,0
1,0,0.562048,0.0384666666666667,0.436,28.8225597569329,36.440677966109,1,0
1,0,0.605056,0.0425333333333333,0.436,28.9356838989677,35.5932203389901,1,0
1,0,0.60864,0.0430666666666667,0.436,28.8232106774844,35.5932203389901,1,0
1,0,0.62848,0.0456,0.436,28.6775244499168,35.5932203389901,1,0
1,0,0.672768,0.0472666666666667,0.436,28.4759700221723,35.5932203389901,1,0
1,0,0.347776,0.038,0.212,29.1895955525116,35.5932203389901,1,0
1,0,0.180352,0.0282,0.212,26.2627287026795,50.0000000000099,1,0
1,0,0.149888,0.0246666666666667,0.212,25.5679271742496,50.0000000000099,1,0
1,0,0.147968,0.0244,0.212,25.5540343049077,50.0000000000099,1,0
1,0,0.125312,0.0215333333333333,0.212,25.9174176881845,23.7288135593268,1,0
1,0,0.083712,0.0197333333333333,0.116,27.2133733063337,50.0000000000099,1,0
1,0,0.07936,0.0196666666666667,0.116,27.9346065619241,16.9491525423763,1,0
1,0,0.078208,0.0192666666666667,0.116,27.8559293727427,16.9491525423763,1,0
1,0,0.0768,0.0198666666666667,0.084,25.4465718583674,16.9491525423763,1,0
1,0,0.093056,0.0207333333333333,0.124,26.2724373485285,41.5254237288218,1,0
1,0,0.112384,0.0219333333333333,0.124,25.9394138758453,40.677966101703,1,0
1,0,0.166144,0.0236,0.244,24.7908532849144,40.677966101703,1,0
1,0,0.96448,0.0459333333333333,0.436,25.4880260420542,24.5762711864456,1,0
1,0,1.098112,0.0548,0.436,25.5179758506457,23.7288135593268,1,0
1,0,1.118848,0.0561333333333333,0.436,25.4444947319782,23.7288135593268,1,0
1,0,1.124352,0.0575333333333333,0.436,25.4792418603664,23.7288135593268,1,0
1,0,1.111424,0.0572,0.436,25.3843257609032,23.7288135593268,1,0
1,0,1.065984,0.0566,0.436,25.6498967096581,23.7288135593268,1,0
1,0,0.272384,0.0347333333333333,0.156,26.1419000501001,23.7288135593268,1,0
1,0,0.139648,0.0262,0.148,24.7905100967528,50.0000000000099,1,0
1,0,0.146048,0.0263333333333333,0.084,25.7501676912468,0,1,0
1,0,0.177792,0.0263333333333333,0.228,26.3899089012743,0,1,0
1,0,0.199168,0.0282666666666667,0.228,27.0367272049935,43.2203389830594,1,0
1,0,0.188672,0.0274666666666667,0.228,26.9225487667999,40.677966101703,1,0
1,0,0.183168,0.0267333333333333,0.228,26.3586136845206,39.8305084745842,1,0
1,0,0.181376,0.0264,0.228,26.795879793792,39.8305084745842,1,0
1,0,0.179968,0.0263333333333333,0.228,27.184524782364,49.1525423728911,1,0
1,0,0.138368,0.0250666666666667,0.164,27.0852914152534,48.3050847457723,1,0
1,0,0.121984,0.0234,0.164,27.4607439484519,48.3050847457723,1,0
1,0,0.121216,0.0233333333333333,0.164,27.6683488411389,49.1525423728911,1,0
1,0,0.49856,0.0383333333333333,0.364,28.280714215378,38.9830508474654,1,0
1,0,0.633984,0.0476666666666667,0.364,28.7930158062394,50.0000000000099,1,0
1,0,0.601088,0.0455333333333333,0.364,28.9708753394001,50.0000000000099,1,0
1,0,0.624512,0.0474666666666667,0.364,28.5886266560009,50.0000000000099,1,0
1,0,0.62272,0.0476,0.364,28.1477582847575,50.0000000000099,1,0
1,0,0.639104,0.0488,0.364,28.0800284550013,50.0000000000099,1,0
